typefield;date
0001;2012-06-01
0002;2012-05-01
0003;2012-04-01
0004;2012-03-01
0005;2012-02-01
0006;2012-01-01
0007;2011-12-01
0008;2011-11-01
0009;2011-10-01
0010;2011-09-01
0011;2011-08-01
0012;2011-07-01
0013;2011-06-01
0014;2011-05-01
0015;2011-04-01
0016;2011-03-01
0017;2011-02-01
0018;2011-01-01
0019;2010-12-01
