typefield;id_tienda
0001; 1001
0002; 1002
0003; 1003
0004; 1004
0005; 1006
0006; 1007
0007; 1009
0008; 1010
0009; 1011
0010; 1013
0011; 1014
0012; 1015
0013; 1016
0014; 1017
0015; 1018
0016; 1019
0017; 1020
0018; 1021
0019; 1022
0020; 1023
0021; 1024
0022; 1025
0023; 1026
0024; 1027
0025; 1028
0026; 1029
0027; 1030
0028; 1031
0029; 1032
0030; 1033
0031; 1035
0032; 1036
0033; 1037
0034; 1038
0035; 1039
0036; 1040
0037; 1041
0038; 1042
0039; 1043
0040; 1044
0041; 1045
0042; 1046
0043; 1047
0044; 1048
0045; 1049
0046; 1051
0047; 1052
0048; 1053
0049; 1054
0050; 1055
0051; 1056
0052; 1057
0053; 1059
0054; 1060
0055; 1061
0056; 1062
0057; 1063
0058; 1064
0059; 1065
0060; 1066
0061; 1067
0062; 1068
0063; 1070
0064; 1071
0065; 1072
0066; 1073
0067; 1075
0068; 1076
0069; 1077
0070; 1078
0071; 1079
0072; 1080
0073; 1081
0074; 1082
0075; 1083
0076; 1084
0077; 1085
0078; 1086
0079; 1087
0080; 1089
0081; 1090
0082; 1091
0083; 1092
0084; 1093
0085; 1094
0086; 1095
0087; 1097
0088; 1098
0089; 1101
0090; 1102
0091; 1103
0092; 1104
0093; 1105
0094; 1107
0095; 1108
0096; 1109
0097; 1110
0098; 1111
0099; 1113
0100; 1114
0101; 1116
0102; 1117
0103; 1118
0104; 1119
0105; 1121
0106; 1122
0107; 1124
0108; 1126
0109; 1129
0110; 1130
0111; 1131
0112; 1132
0113; 1133
0114; 1134
0115; 1135
0116; 1136
0117; 1137
0118; 1138
0119; 1140
0120; 1141
0121; 1143
0122; 1144
0123; 1145
0124; 1146
0125; 1147
0126; 1148
0127; 1150
0128; 1155
0129; 1156
0130; 1161
0131; 1162
0132; 1163
0133; 1164
0134; 1165
0135; 1166
0136; 1168
0137; 1169
0138; 1170
0139; 1171
0140; 1172
0141; 1173
0142; 1174
0143; 1175
0144; 1176
0145; 1178
0146; 1179
0147; 1180
0148; 1181
0149; 1182
0150; 1183
0151; 1184
0152; 1185
0153; 1186
0154; 1187
0155; 1188
0156; 1190
0157; 1191
0158; 1192
0159; 1193
0160; 1194
0161; 1196
0162; 1197
0163; 1199
0164; 1214
0165; 1215
