2012/06/16 02:43:43 - DW Inventario - Loading transformation from XML file [file:///root/Transformations/DWDNK\Trans\INVENTARIO PREDW 2.0.ktr]
2012/06/16 02:43:44 - INVENTARIO PREDW 20 - Dispatching started for transformation [INVENTARIO PREDW 20]
2012/06/16 02:43:46 - FECHA ULTIMA ACTUALIZACION.0 - Finished reading query, closing connection.
2012/06/16 02:43:46 - FECHA ULTIMA ACTUALIZACION.0 - Finished processing (I=1, O=0, R=0, W=1, U=0, E=0)
2012/06/16 02:48:34 - INVENTARIO.0 - Finished reading query, closing connection.
2012/06/16 02:48:36 - Rangos de precios.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - GENERO.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - estado almacen.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - INVENTARIO.0 - Finished processing (I=43921, O=0, R=0, W=43921, U=0, E=0)
2012/06/16 02:48:36 - If field value is null.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - Select values.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - Add sequence.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - Select values .0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - Quita Null a Medidas.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - calculo de valor del inventario.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - CD ALMACEN.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:36 - String operations.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:48:47 - String operations 2.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:49:18 - Join Rows (cartesian product).0 - Finished processing (I=0, O=0, R=43922, W=43921, U=0, E=0)
2012/06/16 02:49:31 - Filter rows.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/16 02:49:31 - INVENTARIO AL DIA.0 - Finished processing (I=0, O=0, R=2832, W=2832, U=0, E=0)
2012/06/16 02:49:52 - Add constants 2.0 - Finished processing (I=0, O=0, R=41089, W=41089, U=0, E=0)
2012/06/16 02:50:11 - InventarioDWplano.0 - Finished processing (I=43921, O=2832, R=43921, W=43921, U=2895, E=0)
