2012/06/05 01:06:36 - DW Inventario - Loading transformation from XML file [file:///root/Transformations/DWDNK\Trans\INVENTARIO PREDW 2.0.ktr]
2012/06/05 01:06:37 - INVENTARIO PREDW 20 - Dispatching started for transformation [INVENTARIO PREDW 20]
2012/06/05 01:06:38 - FECHA ULTIMA ACTUALIZACION.0 - Finished reading query, closing connection.
2012/06/05 01:06:38 - FECHA ULTIMA ACTUALIZACION.0 - Finished processing (I=1, O=0, R=0, W=1, U=0, E=0)
2012/06/05 01:06:52 - INVENTARIO.0 - Finished reading query, closing connection.
2012/06/05 01:06:52 - Select values .0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:06:52 - If field value is null.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:06:52 - Select values.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:06:52 - Quita Null a Medidas.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:06:52 - calculo de valor del inventario.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:06:52 - Add sequence.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:06:52 - INVENTARIO.0 - Finished processing (I=26001, O=0, R=0, W=26001, U=0, E=0)
2012/06/05 01:06:52 - String operations.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:08:05 - Filter rows.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:08:05 - GENERO.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:08:05 - INVENTARIO AL DIA.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/05 01:08:05 - estado almacen.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:08:05 - Join Rows (cartesian product).0 - Finished processing (I=0, O=0, R=26002, W=26001, U=0, E=0)
2012/06/05 01:08:05 - String operations 2.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:08:05 - CD ALMACEN.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:08:05 - Rangos de precios.0 - Finished processing (I=0, O=0, R=26001, W=26001, U=0, E=0)
2012/06/05 01:08:56 - Add constants 2.0 - Finished processing (I=0, O=0, R=17334, W=17334, U=0, E=0)
2012/06/05 01:09:22 - InventarioDWplano.0 - Finished processing (I=26001, O=8667, R=26001, W=26001, U=17333, E=0)
