2012/05/08 17:23:43 - PREDW Compras - Loading transformation from XML file [file:///root/Transformations/DWDNK\COMPRAS\DNK_COMPRAS_PLANA.ktr]
2012/05/08 17:23:44 - DNK_COMPRAS_PLANA - Dispatching started for transformation [DNK_COMPRAS_PLANA]
2012/05/08 17:24:00 - Transforma/Normaliza Tipo .0 - Optimization level set to 9.
2012/05/08 17:24:01 - Compras_DNK.0 - Finished reading query, closing connection.
2012/05/08 17:24:01 - Compras_DNK.0 - Finished processing (I=4671, O=0, R=0, W=4671, U=0, E=0)
2012/05/08 17:24:01 - Compra Completada.0 - Finished processing (I=0, O=0, R=4671, W=4671, U=0, E=0)
2012/05/08 17:24:01 - Transforma/Normaliza Tipo .0 - Finished processing (I=0, O=0, R=4671, W=4671, U=0, E=0)
2012/05/08 17:24:01 - Agrega Campos Nulos y Campo Finalizado.0 - Finished processing (I=0, O=0, R=603, W=603, U=0, E=0)
2012/05/08 17:24:04 - Campos de Fecha 2.0 - Finished processing (I=0, O=0, R=4068, W=4068, U=0, E=0)
2012/05/08 17:24:04 - Formula.0 - Finished processing (I=0, O=0, R=4068, W=4068, U=0, E=0)
2012/05/08 17:24:04 - Agrega Campo Finalizado.0 - Finished processing (I=0, O=0, R=4068, W=4068, U=0, E=0)
2012/05/08 17:24:04 - Tiene Precio.0 - Finished processing (I=0, O=0, R=4671, W=4671, U=0, E=0)
2012/05/08 17:24:04 - No tiene precio.0 - Finished processing (I=0, O=0, R=1002, W=1002, U=0, E=0)
2012/05/08 17:24:04 - Si tiene precio.0 - Finished processing (I=0, O=0, R=3669, W=3669, U=0, E=0)
2012/05/08 17:24:04 - Compras Positivas.0 - Finished processing (I=0, O=0, R=4671, W=4671, U=0, E=0)
2012/05/08 17:24:04 - No.0 - Finished processing (I=0, O=0, R=268, W=268, U=0, E=0)
2012/05/08 17:24:04 - Si.0 - Finished processing (I=0, O=0, R=4403, W=4403, U=0, E=0)
2012/05/08 17:24:31 - Insert / Update.0 - Finished processing (I=4671, O=721, R=4671, W=4671, U=54, E=0)
