2012/06/01 12:34:45 - DW Inventario - Loading transformation from XML file [file:///root/Transformations/DWDNK\Trans\INVENTARIO PREDW 2.0.ktr]
2012/06/01 12:34:45 - INVENTARIO PREDW 20 - Dispatching started for transformation [INVENTARIO PREDW 20]
2012/06/01 12:34:45 - FECHA ULTIMA ACTUALIZACION.0 - Finished reading query, closing connection.
2012/06/01 12:34:45 - FECHA ULTIMA ACTUALIZACION.0 - Finished processing (I=1, O=0, R=0, W=1, U=0, E=0)
2012/06/01 12:34:48 - INVENTARIO.0 - Finished reading query, closing connection.
2012/06/01 12:34:48 - Quita Null a Medidas.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - If field value is null.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - Select values .0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - Select values.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - calculo de valor del inventario.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - Add sequence.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - INVENTARIO.0 - Finished processing (I=8667, O=0, R=0, W=8667, U=0, E=0)
2012/06/01 12:34:48 - estado almacen.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - CD ALMACEN.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - String operations.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - Rangos de precios.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - GENERO.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:48 - String operations 2.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:49 - Join Rows (cartesian product).0 - Finished processing (I=0, O=0, R=8668, W=8667, U=0, E=0)
2012/06/01 12:34:49 - Filter rows.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:34:49 - INVENTARIO AL DIA.0 - Finished processing (I=0, O=0, R=8667, W=8667, U=0, E=0)
2012/06/01 12:35:01 - InventarioDWplano.0 - Finished processing (I=8667, O=8667, R=8667, W=8667, U=0, E=0)
