2012/06/17 02:48:46 - DW Inventario - Loading transformation from XML file [file:///root/Transformations/DWDNK\Trans\INVENTARIO PREDW 2.0.ktr]
2012/06/17 02:48:46 - INVENTARIO PREDW 20 - Dispatching started for transformation [INVENTARIO PREDW 20]
2012/06/17 02:48:48 - FECHA ULTIMA ACTUALIZACION.0 - Finished reading query, closing connection.
2012/06/17 02:48:48 - FECHA ULTIMA ACTUALIZACION.0 - Finished processing (I=1, O=0, R=0, W=1, U=0, E=0)
2012/06/17 02:53:12 - INVENTARIO.0 - Finished reading query, closing connection.
2012/06/17 02:53:14 - String operations.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - Quita Null a Medidas.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - INVENTARIO.0 - Finished processing (I=46753, O=0, R=0, W=46753, U=0, E=0)
2012/06/17 02:53:14 - Select values.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - calculo de valor del inventario.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - Rangos de precios.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - GENERO.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - estado almacen.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - CD ALMACEN.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - Select values .0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - Add sequence.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:14 - If field value is null.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:53:50 - String operations 2.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:54:22 - Join Rows (cartesian product).0 - Finished processing (I=0, O=0, R=46754, W=46753, U=0, E=0)
2012/06/17 02:54:35 - Filter rows.0 - Finished processing (I=0, O=0, R=46753, W=46753, U=0, E=0)
2012/06/17 02:54:35 - INVENTARIO AL DIA.0 - Finished processing (I=0, O=0, R=2832, W=2832, U=0, E=0)
2012/06/17 02:54:56 - Add constants 2.0 - Finished processing (I=0, O=0, R=43921, W=43921, U=0, E=0)
2012/06/17 02:55:19 - InventarioDWplano.0 - Finished processing (I=46753, O=2832, R=46753, W=46753, U=2832, E=0)
